{'loss': 1.3748, 'learning_rate': 4.9620625815654495e-06, 'epoch': 0.02}
{'loss': 1.3351, 'learning_rate': 4.9241251631308995e-06, 'epoch': 0.05}
{'loss': 1.2995, 'learning_rate': 4.886187744696349e-06, 'epoch': 0.07}
{'loss': 1.3043, 'learning_rate': 4.8482503262617995e-06, 'epoch': 0.09}
{'loss': 1.2685, 'learning_rate': 4.810312907827249e-06, 'epoch': 0.11}
{'loss': 1.2535, 'learning_rate': 4.772375489392699e-06, 'epoch': 0.14}
{'loss': 1.2488, 'learning_rate': 4.734438070958148e-06, 'epoch': 0.16}
{'loss': 1.236, 'learning_rate': 4.696500652523598e-06, 'epoch': 0.18}
{'loss': 1.2393, 'learning_rate': 4.658563234089047e-06, 'epoch': 0.2}
{'loss': 1.235, 'learning_rate': 4.620625815654497e-06, 'epoch': 0.23}
{'eval_loss': 1.2036151885986328, 'eval_accuracy': 0.4845508491917332, 'eval_runtime': 301.0346, 'eval_samples_per_second': 16.234, 'eval_steps_per_second': 2.03, 'epoch': 0.23}
{'loss': 1.2142, 'learning_rate': 4.582688397219947e-06, 'epoch': 0.25}
{'loss': 1.2173, 'learning_rate': 4.544750978785396e-06, 'epoch': 0.27}
{'loss': 1.1967, 'learning_rate': 4.506813560350846e-06, 'epoch': 0.3}
{'loss': 1.1881, 'learning_rate': 4.468876141916295e-06, 'epoch': 0.32}
{'loss': 1.2236, 'learning_rate': 4.430938723481745e-06, 'epoch': 0.34}
{'loss': 1.1966, 'learning_rate': 4.393001305047194e-06, 'epoch': 0.36}
{'loss': 1.1629, 'learning_rate': 4.355063886612644e-06, 'epoch': 0.39}
{'loss': 1.1644, 'learning_rate': 4.317126468178094e-06, 'epoch': 0.41}
{'loss': 1.163, 'learning_rate': 4.279189049743543e-06, 'epoch': 0.43}
{'loss': 1.1786, 'learning_rate': 4.241251631308993e-06, 'epoch': 0.46}
{'eval_loss': 1.1293911933898926, 'eval_accuracy': 0.5152445262942501, 'eval_runtime': 302.1386, 'eval_samples_per_second': 16.175, 'eval_steps_per_second': 2.022, 'epoch': 0.46}
{'loss': 1.1733, 'learning_rate': 4.2033142128744425e-06, 'epoch': 0.48}
{'loss': 1.1717, 'learning_rate': 4.1653767944398924e-06, 'epoch': 0.5}
{'loss': 1.1408, 'learning_rate': 4.127439376005342e-06, 'epoch': 0.52}
{'loss': 1.128, 'learning_rate': 4.0895019575707916e-06, 'epoch': 0.55}
{'loss': 1.1499, 'learning_rate': 4.0515645391362415e-06, 'epoch': 0.57}
{'loss': 1.1532, 'learning_rate': 4.013627120701691e-06, 'epoch': 0.59}
{'loss': 1.1511, 'learning_rate': 3.975689702267141e-06, 'epoch': 0.61}
{'loss': 1.1165, 'learning_rate': 3.93775228383259e-06, 'epoch': 0.64}
{'loss': 1.1232, 'learning_rate': 3.89981486539804e-06, 'epoch': 0.66}
{'loss': 1.1104, 'learning_rate': 3.86187744696349e-06, 'epoch': 0.68}
